time,pnl,capital,portfolio_value,variance,capitalUsage,maxDrawdown,total_profit,total_loss,count_profit,count_loss
2007-12-10 10:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-10 11:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-10 12:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-10 13:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-10 14:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-11 09:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-11 10:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-11 11:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-11 12:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-11 13:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-11 14:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-12 09:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-12 10:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-12 11:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-12 12:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-12 13:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-12 14:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-13 09:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-13 10:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-13 11:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-13 12:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-13 13:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-13 14:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-14 09:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-14 10:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-14 11:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-14 12:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-14 13:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-14 14:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-17 09:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-17 10:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-17 11:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-17 12:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-17 13:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-17 14:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-18 09:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-18 10:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-18 11:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-18 12:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-18 13:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-18 14:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-19 09:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-19 10:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-19 11:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-19 12:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-19 13:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
2007-12-19 14:30:00,0.0,10000000.0,10000000.0,0.0,0,"{'maxPortfolioValue': 10000000.0, 'maxDrawdown': 0}",0,0,0,0
